CPUs	Nodes	NodesxCPU	COLROW	Day1_Timing_sec	Day2_Timing_sec	TotalTime	CPU Hours/day	SBATCHexclusive	Equation using Spot Pricing	SpotCost	Equation using On Demand Pricing	OnDemandCost	compiler flag	InputData	cpuMhz	Scaling	IdealScaling	Efficiency	ComputeNode	MS_Opt_Pin
192	2	2x96	16x12	1898.92	1748.17	3647.09	0.5065	yes	$1.4/hr * 2 nodes * 1.013 hr =	2.83	$3.6/hr * 2 nodes * 1.013 hr =	7.29	without -march=native compiler flag	/data NetApp	NA	5.521835217	10.66666667	51.76720516	HB120	yes
288	3	3x96	16x18	1923.52	NA	NA	NA	NA	NA	NA	NA	NA	with -march=native	/shared	NA	NA	NA	NA	HB120	yes
288	3	3x96	16x18	2206.73	NA	NA	NA	NA	NA	NA	NA	NA	with -march=native	/shared	NA	NA	NA	NA	HB120	no
288	3	3x96	16x18	2399.31	NA	NA	NA	NA	NA	NA	NA	NA	with -march=native	/shared	NA	NA	NA	NA	HB120	no
288	3	3x96	16x18	2317.68	NA	NA	NA	NA	NA	NA	NA	NA	with -march=native	/shared	NA	NA	NA	NA	HB120	no
288	3	3x96	16x18	2253.63	2183.55	4437.18	0.616	yes	$1.4/hr * 3 nodes * 1.23 hr =	5.16	$3.6/hr * 3 nodes * 1.23 =	$13.28 	with -march=native	/data NetApp	NA	4.538610108	16	28.36631318	HB120	no
288	3	3x96	16x18	1673.15	1581.15	3254.3	0.452	yes	$1.4/hr * 3 nodes * .90 hr =	3.795	$3.6/hr * 3 nodes * .90 =	$9.72 	with -march=native	/data NetApp	NA	6.188313923	16	38.67696202	HB120	yes
360	3	3x120	20x18	1966.37	300.73	NA		yes	$1.4/hr * 3 nodes * hr =	NA	$3.6/hr * 3 nodes * =	NA	with -march=native	/shared	NA	NA	NA	NA	HB120	no
360	3	3x120	20x18	1976.24	300.73	NA		yes	$1.4/hr * 3 nodes * hr =	NA	$3.6/hr * 3 nodes * =	NA	with -march=native	/shared	NA	NA	NA	NA	HB120	no
360	3	3x120	20x18	1950.84	294.06	NA		yes	$1.4/hr * 3 nodes * hr =	NA	$3.6/hr * 3 nodes * =	NA	with -march=native	/shared Premium SSD	NA	NA	NA	NA	HB120	no
360	3	3x120	20x18	1722.43	1630.6	3353.03	0.466	yes	$1.4/hr * 3 nodes * .931 hr =	3.91	$3.6/hr * 3 nodes * .931 =	$10.89 	with -march=native	/data NetApp	NA	6.006098961	20	30.03049481	HB120	no
360	3	3x120	20x18	1404.04	1337.72	2741.76	0.381	yes	$1.4/hr * 3 nodes * .762 hr =	3.2	$3.6/hr * 3 nodes * .762 =	$8.22 	with -march=native	/data NetApp	NA	7.345146913	20	36.72573456	HB120	yes
384	4	4x96	24x16	1575.88	256.47	NA	NA	NA	NA	NA	NA	NA	with march=native	/shared	NA	NA	NA	NA	HB120	yes
384	4	4x96	24x16	1808.31	4.83	NA	NA	NA	NA	NA	NA	NA	with march=native	/shared	NA	NA	NA	NA	HB120	yes
384	4	4x96	24x16	1043.02	258.11	NA	NA	NA	NA	NA	NA	NA	with march=native	/shared	NA	NA	NA	NA	HB120	yes
384	4	4x96	24x16	1072.87	204.27	NA	NA	NA	NA	NA	NA	NA	with march=native	/shared	NA	NA	NA	NA	HB120	yes
384	4	4x96	24x16	1894.96	1664.72	3559.68	0.4944	yes	$1.4/hr * 4 nodes * .9889 hr =	5.54	$3.6/hr * 4 nodes * .9889 =	$14.24 	with march=native	/data NetApp	NA	5.657427072	21.33333333	26.5191894	HB120	no
384	4	4x96	24x16	1631.05	1526.87	3157.92	0.4386	yes	$1.4/hr * 4 nodes * .8772 hr =	4.91	$3.6/hr * 4 nodes * .8772 =	$12.63 	with march=native	/data NetApp	NA	6.377181816	21.33333333	29.89303976	HB120	yes
